classe,atributo,tipo
Passag_Elevada_Viaduto,pesoMaxSuportTon,real
Ponte,pesoMaxSuportTon,real
Condutor_Hidrico,matConstr,integer
Condutor_Hidrico,tipoTrechoDuto,integer
Condutor_Hidrico,setor,integer
Condutor_Hidrico,posicaoRelativa,integer
Condutor_Hidrico,nrDutos,integer
Condutor_Hidrico,situacaoEspacial,integer
Condutor_Hidrico,matTransp,integer
Torre_Energia,operacional,integer
Torre_Comunic,operacional,integer
Torre_Energia,situacaoFisica,integer
Torre_Comunic,situacaoFisica,integer
Torre_Energia,ovgd,integer
Torre_Comunic,ovgd,integer
Torre_Energia,alturaEstimada,real
Torre_Comunic,alturaEstimada,real
Trecho_Energia,operacional,integer
Trecho_Comunic,operacional,integer
Trecho_Energia,situacaoFisica,integer
Trecho_Comunic,situacaoFisica,integer
Trecho_Energia,posicaoRelativa,integer
Trecho_Comunic,posicaoRelativa,integer
Trecho_Energia,emDuto,integer
Trecho_Comunic,emDuto,integer
Hidreletrica,operacional,integer
Termeletrica,operacional,integer
Hidreletrica,situacaoFisica,integer
Termeletrica,situacaoFisica,integer
Hidreletrica,tipoEstGerad,integer
Termeletrica,tipoEstGerad,integer
Hidreletrica,destEnergElet,integer
Termeletrica,destEnergElet,integer
Hidreletrica,codigoEstacao,string
Termeletrica,codigoEstacao,string
Hidreletrica,potenciaOutorgadaKW,real
Termeletrica,potenciaOutorgadaKW,real
Hidreletrica,potenciaFiscalizadaKW,real
Termeletrica,potenciaFiscalizadaKW,real
Posto_Fiscal,tipoEdif,integer
Posto_Pol_Rod,tipoEdif,integer
Posto_Fiscal,tipoUsoEdif,integer
Posto_Pol_Rod,tipoUsoEdif,integer
Posto_Pol_Rod,tipoEdif,integer
Posto_Pol_Rod,tipoUsoEdif,integer
Pto_Ref_Geod_Topo,tipoRef,integer
Pto_Controle,tipoRef,integer
Pto_Ref_Geod_Topo,latitude,real
Pto_Controle,latitude,real
Pto_Ref_Geod_Topo,longitude,real
Pto_Controle,longitude,real
Pto_Ref_Geod_Topo,altitudeOrtometrica,real
Pto_Controle,altitudeOrtometrica,real
Pto_Ref_Geod_Topo,sistemaGeodesico,integer
Pto_Controle,sistemaGeodesico,integer
Pto_Ref_Geod_Topo,outraRefPlan,string
Pto_Controle,outraRefPlan,string
Pto_Ref_Geod_Topo,referencialAltim,integer
Pto_Controle,referencialAltim,integer
Pto_Ref_Geod_Topo,outraRefAlt,string
Pto_Controle,outraRefAlt,string
Pto_Ref_Geod_Topo,orgaoEnteResp,string
Pto_Controle,orgaoEnteResp,string
Pto_Ref_Geod_Topo,codPonto,string
Pto_Controle,codPonto,string
Pto_Ref_Geod_Topo,obs,string
Pto_Controle,obs,string
Vila,latitude,real
Cidade,latitude,real
Aglomerado_Rural,latitude,real
Vila,longitude,real
Cidade,longitude,real
Aglomerado_Rural,longitude,real
Vila,identificadorPosicGeo,string
Cidade,identificadorPosicGeo,string
Aglomerado_Rural,identificadorPosicGeo,string
Caminho_Aereo,operacional,integer
Trecho_Rodoviario,operacional,integer
Ciclovia,operacional,integer
Arruamento,operacional,integer
Trecho_Ferroviario,operacional,integer
Trecho_Hidroviario,operacional,integer
Trecho_Duto,operacional,integer
Condutor_Hidrico,operacional,integer
Caminho_Aereo,situacaoFisica,integer
Trecho_Rodoviario,situacaoFisica,integer
Ciclovia,situacaoFisica,integer
Arruamento,situacaoFisica,integer
Trecho_Ferroviario,situacaoFisica,integer
Trecho_Hidroviario,situacaoFisica,integer
Trecho_Duto,situacaoFisica,integer
Condutor_Hidrico,situacaoFisica,integer
Edif_Rodoviaria,matConstr,integer
Posto_Combustivel,matConstr,integer
Edif_Metro_Ferroviaria,matConstr,integer
Edif_Const_Aeroportuaria,matConstr,integer
Edif_Energia,matConstr,integer
Edif_Comunic,matConstr,integer
Edif_Abast_Agua,matConstr,integer
Dep_Abast_Agua,matConstr,integer
Edif_Saneamento,matConstr,integer
Dep_Saneamento,matConstr,integer
Edif_Constr_Portuaria,matConstr,integer
Edif_Ensino,matConstr,integer
Edif_Religiosa,matConstr,integer
Edif_Const_Turistica,matConstr,integer
Edif_Const_Lazer,matConstr,integer
Arquibancada,matConstr,integer
Coreto_Tribuna,matConstr,integer
Edif_Pub_Civil,matConstr,integer
Posto_Fiscal,matConstr,integer
Posto_Pol_Rod,matConstr,integer
Posto_Pol_Rod,matConstr,integer
Edif_Pub_Militar,matConstr,integer
Edif_Comerc_Serv,matConstr,integer
Deposito_Geral,matConstr,integer
Edif_Ext_Mineral,matConstr,integer
Edif_Industrial,matConstr,integer
Edif_Agrop_Ext_Veg_Pesca,matConstr,integer
Equip_Agropec,matConstr,integer
Edif_Saude,matConstr,integer
Edif_Servico_Social,matConstr,integer
Edif_Constr_Est_Med,matConstr,integer
Edificacao,matConstr,integer
Edif_Habitacional,matConstr,integer
Hab_Indigena,matConstr,integer
Edif_Rodoviaria,operacional,integer
Posto_Combustivel,operacional,integer
Edif_Metro_Ferroviaria,operacional,integer
Edif_Const_Aeroportuaria,operacional,integer
Edif_Energia,operacional,integer
Edif_Comunic,operacional,integer
Edif_Abast_Agua,operacional,integer
Dep_Abast_Agua,operacional,integer
